,date,High,Low,Open,Close,Volume,Marketcap
0,2016-01-01,436.2460022,427.5150146,430.7210083,434.3340149,36278900,6529299589
1,2016-01-02,436.0620117,431.8699951,434.6220093,433.4379883,30096600,6517390487
2,2016-01-03,433.7430115,424.7059937,433.5780029,430.0109863,39633800,6467429942
3,2016-01-04,434.5169983,429.0840149,430.0610046,433.0910034,38477500,6515713340
4,2016-01-05,434.1820068,429.6759949,433.0690002,431.9599915,34522600,6500393256
5,2016-01-06,431.8559875,426.3410034,431.8559875,429.105011,34042500,6458942098
6,2016-01-07,458.7659912,429.0769958,430.0109863,458.0480042,87562200,6896279078
7,2016-01-08,462.9339905,447.9379883,457.5379944,453.230011,56993000,6825700454
8,2016-01-09,454.6400146,446.8890076,453.3829956,447.6109924,32278000,6742767343
9,2016-01-10,448.3089905,440.3510132,448.2380066,447.9909973,35995900,6750440386
10,2016-01-11,450.6619873,443.855011,448.697998,448.428009,40450000,6758931030
11,2016-01-12,448.1820068,435.6900024,448.1820068,435.6900024,115607000,6568800100
12,2016-01-13,435.1860046,424.4429932,434.6650085,432.3710022,173888000,6520360056
13,2016-01-14,433.3240051,427.8450012,432.2879944,430.3059998,43945500,6490638885
14,2016-01-15,430.2550049,364.3309937,430.2550049,364.3309937,153351008,5496598039
15,2016-01-16,390.5570068,354.9140015,365.072998,387.5360107,120352000,5848063566
16,2016-01-17,390.9649963,380.0920105,387.1520081,382.2990112,45319600,5770478451
17,2016-01-18,388.1040039,376.6650085,381.7330017,387.1679993,54403900,5845656048
18,2016-01-19,387.730011,378.9719849,387.026001,380.1489868,46819800,5740934168
19,2016-01-20,425.2669983,376.598999,379.7399902,420.230011,121720000,6347836794
20,2016-01-21,422.8770142,406.2999878,419.6319885,410.2619934,68338000,6198658815
21,2016-01-22,410.4100037,375.2820129,409.7510071,382.4920044,91546600,5780764155
22,2016-01-23,394.5429993,381.9809875,382.4339905,387.4909973,56247400,5858059876
23,2016-01-24,405.4849854,387.5100098,388.1019897,402.9710083,54824800,6093787908
24,2016-01-25,402.3169861,388.5539856,402.3169861,391.7260132,59062400,5925345408
25,2016-01-26,397.7659912,390.5750122,392.0020142,392.1530151,58147000,5933372928
26,2016-01-27,396.8429871,391.7820129,392.4440002,394.9719849,47424400,5977545745
27,2016-01-28,395.5020142,379.7349854,395.1459961,380.2890015,59247900,5756710303
28,2016-01-29,384.3789978,365.4519958,380.1080017,379.473999,86125296,5745985821
29,2016-01-30,380.9169922,376.4909973,378.8649902,378.2550049,30284400,5729296096
30,2016-01-31,380.3469849,367.8349915,378.2929993,368.7669983,37894300,5587253351
31,2016-02-01,378.071991,367.9570007,369.3500061,373.0559998,51656700,5653747618
32,2016-02-02,375.8829956,372.9200134,372.9200134,374.447998,40378700,5676528707
33,2016-02-03,374.9500122,368.0450134,374.6459961,369.9490051,45933400,5609971377
34,2016-02-04,391.6080017,369.9930115,370.1740112,389.5939941,69285504,5909517630
35,2016-02-05,391.0939941,385.571991,388.8980103,386.5490112,43825000,5865136968
36,2016-02-06,386.631012,372.3869934,386.5889893,376.5220032,49249300,5714879155
