,date,High,Low,Open,Close,Volume,Marketcap,avg_block_size,transactions,mining_revenue,accounts,sp_close,dj_close,google_trends_btc
0,2016-01-01,436.2460022,427.5150146,430.7210083,434.3340149,36278900,6529299589.0,0.554078461,176447,1467328.02,5163651,2016.71,17425.03,2
1,2016-01-02,436.0620117,431.8699951,434.6220093,433.4379883,30096600,6517390487.0,0.579743724,149038,1671419.658,5454997,2016.71,17425.03,2
2,2016-01-03,433.7430115,424.7059937,433.5780029,430.0109863,39633800,6467429942.0,0.579743724,149038,1604631.24,5454997,2016.71,17425.03,2
3,2016-01-04,434.5169983,429.0840149,430.0610046,433.0910034,38477500,6515713340.0,0.579743724,149038,1906932.0,5454997,1990.26,17148.94,2
4,2016-01-05,434.1820068,429.6759949,433.0690002,431.9599915,34522600,6500393256.0,0.641778949,182371,1819807.57,5454997,1943.09,17158.66,2
5,2016-01-06,431.8559875,426.3410034,431.8559875,429.105011,34042500,6458942098.0,0.641778949,182371,1477472.5,5454997,1922.03,16906.51,2
6,2016-01-07,458.7659912,429.0769958,430.0109863,458.0480042,87562200,6896279078.0,0.641778949,182371,1648782.14,5454997,1923.67,16514.1,2
7,2016-01-08,462.9339905,447.9379883,457.5379944,453.230011,56993000,6825700454.0,0.583649358,181407,2195603.804,5454997,1938.68,16346.45,2
8,2016-01-09,454.6400146,446.8890076,453.3829956,447.6109924,32278000,6742767343.0,0.583649358,181407,1802400.6,5454997,1938.68,16346.45,2
9,2016-01-10,448.3089905,440.3510132,448.2380066,447.9909973,35995900,6750440386.0,0.583649358,181407,1909014.72,5454997,1938.68,16346.45,2
10,2016-01-11,450.6619873,443.855011,448.697998,448.428009,40450000,6758931030.0,0.656381006,191196,2152938.818,5454997,1890.28,16398.57,2
11,2016-01-12,448.1820068,435.6900024,448.1820068,435.6900024,115607000,6568800100.0,0.656381006,191196,1980490.44,5454997,1921.84,16516.22,2
12,2016-01-13,435.1860046,424.4429932,434.6650085,432.3710022,173888000,6520360056.0,0.656381006,191196,1657710.63,5454997,1880.33,16151.41,2
13,2016-01-14,433.3240051,427.8450012,432.2879944,430.3059998,43945500,6490638885.0,0.718566368,183182,1487692.379,5454997,1881.33,16379.05,2
14,2016-01-15,430.2550049,364.3309937,430.2550049,364.3309937,153351008,5496598039.0,0.718566368,183182,1217938.2,5454997,1859.33,15988.08,2
15,2016-01-16,390.5570068,354.9140015,365.072998,387.5360107,120352000,5848063566.0,0.718566368,183182,1300104.0,5454997,1859.33,15988.08,2
16,2016-01-17,390.9649963,380.0920105,387.1520081,382.2990112,45319600,5770478451.0,0.754065848,204128,1525313.773,5454997,1859.33,15988.08,3
