,date,sp_close,dj_close
0,2016-01-01,2016.71,17425.03
1,2016-01-02,2016.71,17425.03
2,2016-01-03,2016.71,17425.03
3,2016-01-04,1990.26,17148.94
4,2016-01-05,1943.09,17158.66
5,2016-01-06,1922.03,16906.51
6,2016-01-07,1923.67,16514.1
7,2016-01-08,1938.68,16346.45
8,2016-01-09,1938.68,16346.45
9,2016-01-10,1938.68,16346.45
10,2016-01-11,1890.28,16398.57
11,2016-01-12,1921.84,16516.22
12,2016-01-13,1880.33,16151.41
13,2016-01-14,1881.33,16379.05
14,2016-01-15,1859.33,15988.08
15,2016-01-16,1859.33,15988.08
16,2016-01-17,1859.33,15988.08
17,2016-01-18,1859.33,15988.08
18,2016-01-19,1868.99,16016.02
19,2016-01-20,1906.9,15766.74
20,2016-01-21,1877.08,15882.68
21,2016-01-22,1903.63,16093.51
22,2016-01-23,1903.63,16093.51
23,2016-01-24,1903.63,16093.51
24,2016-01-25,1882.95,15885.22
25,2016-01-26,1893.36,16167.23
26,2016-01-27,1940.24,15944.46
27,2016-01-28,1939.38,16069.64
28,2016-01-29,1903.03,16466.3
29,2016-01-30,1903.03,16466.3
30,2016-01-31,1903.03,16466.3
31,2016-02-01,1912.53,16449.18
32,2016-02-02,1915.45,16153.54
33,2016-02-03,1880.05,16336.66
34,2016-02-04,1853.44,16416.58
35,2016-02-05,1852.21,16204.97
36,2016-02-06,1852.21,16204.97
37,2016-02-07,1852.21,16204.97
38,2016-02-08,1851.86,16027.05
39,2016-02-09,1829.08,16014.38
40,2016-02-10,1864.78,15914.74
41,2016-02-11,1895.58,15660.18
42,2016-02-12,1926.82,15973.84
43,2016-02-13,1926.82,15973.84
44,2016-02-14,1926.82,15973.84
45,2016-02-15,1926.82,15973.84
46,2016-02-16,1917.83,16196.41
47,2016-02-17,1917.78,16453.83
48,2016-02-18,1945.5,16413.43
49,2016-02-19,1921.27,16391.99
50,2016-02-20,1921.27,16391.99
51,2016-02-21,1921.27,16391.99
52,2016-02-22,1929.8,16620.66
53,2016-02-23,1951.7,16431.78
54,2016-02-24,1948.05,16484.99
55,2016-02-25,1932.23,16697.29
56,2016-02-26,1978.35,16639.97
57,2016-02-27,1978.35,16639.97
58,2016-02-28,1978.35,16639.97
59,2016-02-29,1986.45,16516.5
60,2016-03-01,1993.4,16865.08
61,2016-03-02,1999.99,16899.32
62,2016-03-03,2001.76,16943.9
63,2016-03-04,1979.26,17006.77
64,2016-03-05,1979.26,17006.77
65,2016-03-06,1979.26,17006.77
66,2016-03-07,1989.26,17073.95
67,2016-03-08,1989.57,16964.1
68,2016-03-09,2022.19,17000.36
69,2016-03-10,2019.64,16995.13
70,2016-03-11,2015.93,17213.31
71,2016-03-12,2015.93,17213.31
72,2016-03-13,2015.93,17213.31
73,2016-03-14,2027.22,17229.13
74,2016-03-15,2040.59,17251.53
75,2016-03-16,2049.58,17325.76
76,2016-03-17,2051.6,17481.49
77,2016-03-18,2049.8,17602.3
78,2016-03-19,2049.8,17602.3
79,2016-03-20,2049.8,17602.3
80,2016-03-21,2036.71,17623.87
81,2016-03-22,2035.94,17582.57
82,2016-03-23,2037.05,17502.59
83,2016-03-24,2055.01,17515.73
84,2016-03-25,2055.01,17515.73
85,2016-03-26,2055.01,17515.73
86,2016-03-27,2055.01,17515.73
87,2016-03-28,2063.95,17535.39
88,2016-03-29,2059.74,17633.11
89,2016-03-30,2072.78,17716.66
90,2016-03-31,2066.13,17685.09
91,2016-04-01,2045.17,17792.75
92,2016-04-02,2045.17,17792.75
93,2016-04-03,2045.17,17792.75
94,2016-04-04,2066.66,17737.0
95,2016-04-05,2041.91,17603.32
96,2016-04-06,2047.6,17716.05
97,2016-04-07,2041.99,17541.96
98,2016-04-08,2061.72,17576.96
99,2016-04-09,2061.72,17576.96
100,2016-04-10,2061.72,17576.96
101,2016-04-11,2082.42,17556.41
102,2016-04-12,2082.78,17721.25
103,2016-04-13,2080.73,17908.28
104,2016-04-14,2094.34,17926.43
105,2016-04-15,2100.8,17897.46
106,2016-04-16,2100.8,17897.46
107,2016-04-17,2100.8,17897.46
108,2016-04-18,2102.4,18004.16
109,2016-04-19,2091.48,18053.6
110,2016-04-20,2091.58,18096.27
111,2016-04-21,2087.79,17982.52
112,2016-04-22,2091.7,18003.75
113,2016-04-23,2091.7,18003.75
114,2016-04-24,2091.7,18003.75
115,2016-04-25,2095.15,17977.24
116,2016-04-26,2075.81,17990.32
117,2016-04-27,2065.3,18041.55
118,2016-04-28,2081.43,17830.76
119,2016-04-29,2063.37,17773.64
